0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 
55,    0.131931 -0.00767046   -0.112521,    0.137068 -0.00733946   -0.115582,   0.136083 -0.0077724  -0.114687,    0.133703 -0.00788867   -0.114308,    0.131352 -0.00799777   -0.113955,    0.129027 -0.00810133   -0.113625,    0.126726 -0.00819943   -0.113316,    0.124442 -0.00829215   -0.113029,    0.122173 -0.00837958   -0.112761,    0.119913 -0.00846181   -0.112513,   0.117659 -0.0085389  -0.112283,    0.115408 -0.00861092   -0.112072,    0.113154 -0.00867793   -0.111878,    0.110894 -0.00873998   -0.111702,    0.108623 -0.00879711   -0.111543,     0.10634 -0.00884936     -0.1114,    0.104038 -0.00889676   -0.111274,    0.101715 -0.00893932   -0.111164,   0.0993657 -0.00897706    -0.11107,   0.0969871 -0.00900999   -0.110991,   0.0229612 -0.00173798   -0.106573, 
60,    0.162584 -0.00722163  -0.0917426,    0.165773 -0.00678771  -0.0944195,    0.162144 -0.00730526  -0.0939964,    0.159746 -0.00742587  -0.0934992,    0.157368 -0.00753703  -0.0930335,     0.15501 -0.00764299  -0.0925959,    0.152668 -0.00774383  -0.0921856,    0.150338 -0.00783967  -0.0918017,    0.148017 -0.00793058  -0.0914435,    0.145699 -0.00801665  -0.0911106,    0.143381 -0.00809796  -0.0908024,    0.141059 -0.00817457  -0.0905186,    0.138729 -0.00824654  -0.0902588,    0.136387 -0.00831394  -0.0900229,    0.13403 -0.0083768 -0.0898106,    0.131654 -0.00843516  -0.0896217,    0.129254 -0.00848907  -0.0894563,    0.126827 -0.00853854  -0.0893142,    0.124369 -0.00858359  -0.0891954,    0.121876 -0.00862424  -0.0890999,    0.029138 -0.00181801  -0.0885077, 
65,    0.181613 -0.00605885  -0.0775784,   0.183449 -0.0055935 -0.0793023,    0.180528 -0.00619237  -0.0785585,    0.17809 -0.0063164 -0.0780032,    0.175674 -0.00642645   -0.077478,    0.173273 -0.00653192  -0.0769826,    0.170885 -0.00663286  -0.0765165,    0.168504 -0.00672937   -0.076079,    0.166127 -0.00682152  -0.0756696,     0.16375 -0.00690939   -0.075288,    0.161369 -0.00699306  -0.0749339,    0.158979 -0.00707259  -0.0746071,    0.156578 -0.00714804  -0.0743076,    0.154161 -0.00721947  -0.0740352,    0.151724 -0.00728692  -0.0737899,    0.149263 -0.00735042  -0.0735719,    0.146775 -0.00741001  -0.0733812,    0.144255 -0.00746573   -0.073218,      0.1417 -0.00751758  -0.0730824,    0.139105 -0.00756559  -0.0729746,  0.0333875 -0.0016321 -0.0754603, 
70,    0.194083 -0.00471178  -0.0680956,    0.195012 -0.00427489  -0.0691908,    0.192252 -0.00491482  -0.0683089,    0.189802 -0.00503763  -0.0677121,    0.187367 -0.00514362  -0.0671484,    0.184944 -0.00524591  -0.0666158,    0.182531 -0.00534431  -0.0661137,    0.180122 -0.00543891  -0.0656417,    0.177714 -0.00552978  -0.0651994,   0.175302  -0.005617 -0.0647868,    0.172884 -0.00570063  -0.0644036,    0.170454 -0.00578074  -0.0640498,     0.16801 -0.00585737  -0.0637255,    0.165546 -0.00593058  -0.0634308,     0.16306 -0.00600042  -0.0631657,   0.160548 -0.0060669 -0.0629305,    0.158005 -0.00613008  -0.0627254,    0.155427 -0.00618997  -0.0625507,   0.152811 -0.0062466 -0.0624067,    0.150152 -0.00629999  -0.0622938,   0.0362641 -0.00139032  -0.0669299, 
75,    0.201588 -0.00335462  -0.0620406,    0.201892 -0.00297792  -0.0626889,    0.199275 -0.00365137  -0.0617141,  0.196825 -0.003769 -0.061096,    0.194384 -0.00386974  -0.0605123,    0.191954 -0.00396748  -0.0599604,     0.18953 -0.00406197  -0.0594397,    0.187108 -0.00415329    -0.05895,   0.184685 -0.0042415  -0.058491,    0.182256 -0.00432668  -0.0580628,    0.179817 -0.00440888  -0.0576652,    0.177365 -0.00448815  -0.0572984,    0.174895 -0.00456453  -0.0569626,    0.172405 -0.00463809  -0.0566578,     0.16989 -0.00470885  -0.0563843,    0.167346 -0.00477684  -0.0561425,   0.164769 -0.0048421 -0.0559326,    0.162156 -0.00490465   -0.055755,   0.159502 -0.0049645 -0.0556101,    0.156804 -0.00502168  -0.0554984,   0.0381608 -0.00113303  -0.0615607, 
80,     0.20548 -0.00210734  -0.0584644,    0.205359 -0.00180256  -0.0587988,    0.202862 -0.00249532  -0.0577685,    0.20042 -0.0026068 -0.0571437,    0.197983 -0.00270164  -0.0565543,    0.195554 -0.00279414  -0.0559968,    0.193129 -0.00288399  -0.0554709,    0.190705 -0.00297127  -0.0549765,    0.188276 -0.00305603  -0.0545133,     0.18584 -0.00313833  -0.0540815,    0.183393 -0.00321821   -0.053681,     0.18093 -0.00329572  -0.0533121,    0.178449 -0.00337089  -0.0529749,    0.175944 -0.00344378  -0.0526698,    0.173413 -0.00351441   -0.052397,   0.170852 -0.0035828 -0.0521568,    0.168256 -0.00364899  -0.0519496,    0.165623 -0.00371299  -0.0517759,    0.162948 -0.00377481  -0.0516361,    0.160226 -0.00383447  -0.0515306,    0.0393325 -0.000883123   -0.0584504, 
85,     0.20677 -0.00102674  -0.0566536,     0.206367 -0.000785371   -0.0567692,    0.203966 -0.00148723  -0.0557132,    0.201535 -0.00159164  -0.0550926,    0.199107 -0.00168043   -0.054508,    0.196685 -0.00176744  -0.0539554,    0.194266 -0.00185237  -0.0534343,    0.191844 -0.00193525  -0.0529449,    0.189418 -0.00201615  -0.0524869,   0.186982 -0.0020951 -0.0520605,    0.184533 -0.00217215  -0.0516657,    0.182068 -0.00224733  -0.0513028,    0.179582 -0.00232067  -0.0509721,    0.177072 -0.00239221  -0.0506739,    0.174535 -0.00246196  -0.0504084,    0.171966 -0.00252996  -0.0501761,    0.169362 -0.00259622  -0.0499773,    0.166719 -0.00266074  -0.0498125,    0.164033 -0.00272355  -0.0496822,      0.1613 -0.00278466  -0.0495868,    0.0399752 -0.000651513   -0.0569275, 
90,      0.20621 -0.000103584    -0.056074,    0.205624 7.85958e-05  -0.0560397,     0.203298 -0.000622864   -0.0549803,     0.200881 -0.000719974   -0.0543721,    0.198464 -0.00080282     -0.0538,    0.196051 -0.00088439  -0.0532596,      0.19364 -0.000964366   -0.0527508,    0.191225 -0.00104279  -0.0522734,    0.188804 -0.00111971  -0.0518274,    0.186372 -0.00119514   -0.051413,    0.183926 -0.00126912  -0.0510303,    0.181463 -0.00134169  -0.0506795,    0.178978 -0.00141285  -0.0503609,    0.176468 -0.00148264  -0.0500749,     0.17393 -0.00155107  -0.0498217,     0.17136 -0.00161815  -0.0496018,    0.168754 -0.00168391  -0.0494156,    0.166108 -0.00174834  -0.0492634,     0.16342 -0.00181145  -0.0491457,    0.160684 -0.00187324  -0.0490631,    0.0402364 -0.000439939   -0.0564946, 
95,    0.204355 0.000660784  -0.0563358,    0.203657 0.000788865  -0.0562006,    0.201386 9.48114e-05  -0.0551542,    0.198983 4.85945e-06  -0.0545639,     0.196578 -7.23314e-05   -0.0540097,     0.194176 -0.000148678   -0.0534869,     0.191774 -0.000223869   -0.0529954,     0.189367 -0.000297939   -0.0525351,     0.186953 -0.000370916    -0.052106,     0.184528 -0.000442823   -0.0517083,     0.182087 -0.000513679   -0.0513421,     0.179628 -0.000583504   -0.0510076,     0.177148 -0.000652312   -0.0507052,     0.174642 -0.000720114    -0.050435,     0.172107 -0.000786922   -0.0501976,     0.169539 -0.000852747   -0.0499932,     0.166935 -0.000917591   -0.0498223,     0.164292 -0.000981454   -0.0496853,    0.161606 -0.00104434  -0.0495825,    0.158873 -0.00110624  -0.0495144,    0.0402288 -0.000251513   -0.0567934, 
100,   0.201573 0.00126879 -0.0571723,   0.200809 0.00134675 -0.0569683,    0.198571 0.000666154  -0.0559478,    0.196183 0.000583135  -0.0553793,    0.193791 0.000511355  -0.0548465,   0.191401 0.00044008 -0.0543446,     0.18901 0.000369603  -0.0538735,   0.186614  0.0002999 -0.0534331,     0.18421 0.000230954  -0.0530235,    0.181795 0.000162749  -0.0526448,    0.179364 9.52735e-05  -0.0522971,   0.176914 2.8517e-05 -0.0519807,     0.174443 -3.75289e-05   -0.0516959,     0.171946 -0.000102868   -0.0514429,      0.16942 -0.000167506   -0.0512221,     0.166861 -0.000231449   -0.0510339,     0.164266 -0.000294698   -0.0508787,     0.161633 -0.000357247   -0.0507568,     0.158956 -0.000419094   -0.0506685,     0.156233 -0.000480232   -0.0506144,    0.0400351 -8.67009e-05   -0.0575605, 
