0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 
155,   0.163085 0.00136855 -0.0682113,   0.162674 0.00127931 -0.0681587,    0.160482 0.000881823  -0.0675692,    0.158165 0.000843048  -0.0672767,    0.155827 0.000808206  -0.0670185,    0.153483 0.000772243  -0.0667867,     0.15113 0.000735326  -0.0665809,    0.148766 0.000697525   -0.066401,    0.146388 0.000658914   -0.066247,    0.143994 0.000619565  -0.0661188,   0.141582 0.00057955 -0.0660162,     0.13915 0.000538939   -0.065939,    0.136695 0.000497802  -0.0658873,    0.134214 0.000456209  -0.0658609,    0.131706 0.000414227  -0.0658596,    0.129169 0.000371928  -0.0658833,   0.126599 0.00032938 -0.0659317,    0.123996 0.000286652  -0.0660046,    0.121355 0.000243813  -0.0661018,    0.118676 0.000200931   -0.066223,   0.0368057 0.000611871  -0.0676574, 
160,   0.161073 0.00112937 -0.0680292,   0.160696 0.00104216 -0.0680053,    0.158535 0.000666175  -0.0674285,    0.156202 0.000632308  -0.0671622,    0.153854 0.000599039  -0.0669263,    0.151498 0.000564605  -0.0667172,    0.149131 0.000529212  -0.0665346,     0.14675 0.000492935  -0.0663784,    0.144354 0.000455849  -0.0662484,     0.14194 0.000418027  -0.0661444,    0.139506 0.000379545  -0.0660663,    0.137051 0.000340475  -0.0660139,     0.13457 0.000300888  -0.0659871,    0.132064 0.000260858  -0.0659857,    0.129529 0.000220453  -0.0660093,    0.126964 0.000179744  -0.0660578,    0.124366 0.000138807  -0.0661307,    0.121734 9.77135e-05  -0.0662278,   0.119066 5.6535e-05 -0.0663487,    0.116359 1.53437e-05   -0.066493,   0.0369356 0.000635103  -0.0677853, 
165,    0.159945 0.000896259  -0.0678592,   0.160696 0.00104216 -0.0680053,    0.158535 0.000666175  -0.0674285,    0.156202 0.000632308  -0.0671622,    0.153854 0.000599039  -0.0669263,    0.151498 0.000564605  -0.0667172,    0.149131 0.000529212  -0.0665346,     0.14675 0.000492935  -0.0663784,    0.144354 0.000455849  -0.0662484,     0.14194 0.000418027  -0.0661444,    0.139506 0.000379545  -0.0660663,    0.137051 0.000340475  -0.0660139,     0.13457 0.000300888  -0.0659871,    0.132064 0.000260858  -0.0659857,    0.129529 0.000220453  -0.0660093,    0.126964 0.000179744  -0.0660578,    0.124366 0.000138807  -0.0661307,    0.121734 9.77135e-05  -0.0662278,   0.119066 5.6535e-05 -0.0663487,    0.116359 1.53437e-05   -0.066493,   0.0369356 0.000635103  -0.0677853, 
170,   0.156836 0.00093236 -0.0680798,    0.156433 0.000857083  -0.0680062,     0.1544 0.00022407 -0.0672112,    0.152059 0.000195195  -0.0669873,    0.149705 0.000166813  -0.0667927,    0.147342 0.000137158  -0.0666234,    0.144968 0.000106404  -0.0664793,    0.142582 7.46345e-05  -0.0663601,     0.14018 4.19347e-05  -0.0662657,    0.137762 8.39001e-06  -0.0661959,    0.135325 -2.5916e-05  -0.0661506,     0.132866 -6.09011e-05   -0.0661296,     0.130384 -9.64839e-05   -0.0661327,     0.127877 -0.000132583   -0.0661597,    0.125342 -0.00016912  -0.0662103,     0.122778 -0.000206016   -0.0662843,     0.120182 -0.000243187   -0.0663811,     0.117553 -0.000280554   -0.0665006,     0.114888 -0.000318038   -0.0666422,     0.112186 -0.000355559   -0.0668057,   0.0373458 0.000680558  -0.0678381, 
175,    0.154553 0.000411563  -0.0678005,    0.154243 0.000343767  -0.0678192,    0.152033 3.79259e-05  -0.0673424,    0.149688 7.22226e-06  -0.0671371,     0.147321 -2.14371e-05   -0.0669644,     0.144944 -5.12809e-05   -0.0668169,     0.142557 -8.21593e-05   -0.0666942,     0.140157 -0.000113983   -0.0665962,     0.137741 -0.000146662   -0.0665226,     0.135308 -0.000180108   -0.0664734,     0.132856 -0.000214231   -0.0664482,     0.130383 -0.000248946   -0.0664469,     0.127887 -0.000284167   -0.0664691,     0.125365 -0.000319807   -0.0665147,     0.122816 -0.000355785   -0.0665834,     0.120237 -0.000392014   -0.0666747,     0.117628 -0.000428409   -0.0667883,     0.114986 -0.000464885   -0.0669237,     0.112308 -0.000501357   -0.0670805,     0.109594 -0.000537739   -0.0672583,   0.0374381 0.000694892  -0.0680495, 
180,    0.152868 0.000189304  -0.0673446,    0.152571 0.000126488  -0.0673721,     0.150362 -0.000158841   -0.0669128,     0.147997 -0.000186831    -0.066732,     0.145618 -0.000214662   -0.0665796,     0.143229 -0.000243704    -0.066452,    0.140829 -0.00027377  -0.0663491,     0.138416 -0.000304769   -0.0662705,     0.135987 -0.000336609   -0.0662161,     0.133541 -0.000369198   -0.0661857,     0.131075 -0.000402447    -0.066179,     0.128587 -0.000436266   -0.0661957,    0.126076 -0.00047057  -0.0662357,      0.12354 -0.000505268   -0.0662985,     0.120977 -0.000540277   -0.0663838,     0.118384 -0.000575507   -0.0664913,     0.115761 -0.000610872   -0.0666204,     0.113105 -0.000646284   -0.0667708,     0.110413 -0.000681655   -0.0669419,     0.107686 -0.000716897   -0.0671332,   0.0377027 0.000711858  -0.0678152, 
185,     0.151205 -2.71646e-05    -0.066865,     0.150922 -8.32558e-05   -0.0669006,     0.148708 -0.000346855    -0.066466,     0.146331 -0.000374219   -0.0663057,     0.143939 -0.000401308   -0.0661736,     0.141538 -0.000429571   -0.0660661,     0.139124 -0.000458854   -0.0659829,     0.136696 -0.000489064   -0.0659239,     0.134253 -0.000520105   -0.0658887,     0.131792 -0.000551885   -0.0658772,     0.129311 -0.000584312    -0.065889,     0.126808 -0.000617294   -0.0659239,     0.124282 -0.000650743   -0.0659816,      0.12173 -0.000684568   -0.0660616,    0.119151 -0.00071868  -0.0661636,     0.116544 -0.000752987   -0.0662872,     0.113905 -0.000787402    -0.066432,     0.111234 -0.000821834   -0.0665973,     0.108527 -0.000856192   -0.0667828,     0.105785 -0.000890385   -0.0669876,   0.0379779 0.000728217  -0.0675543, 
190,     0.149585 -0.000231899   -0.0663539,     0.149316 -0.000281288    -0.066398,     0.147093 -0.000526375   -0.0659885,     0.144703 -0.000552921   -0.0658486,     0.142298 -0.000579384   -0.0657368,     0.139882 -0.000607002   -0.0656492,     0.137454 -0.000635633   -0.0655857,     0.135012 -0.000665181    -0.065546,     0.132553 -0.000695549   -0.0655299,     0.130076 -0.000726642    -0.065537,      0.12758 -0.000758367   -0.0655671,    0.125061 -0.00079063  -0.0656199,    0.122519 -0.00082334  -0.0656949,     0.119951 -0.000856406   -0.0657919,     0.117357 -0.000889735   -0.0659103,     0.114733 -0.000923232   -0.0660497,     0.112078 -0.000956808   -0.0662097,     0.109391 -0.000990371   -0.0663896,     0.10667 -0.00102383  -0.0665889,    0.103912 -0.00105708  -0.0668069,   0.0382693 0.000743891  -0.0672546, 
195,     0.148014 -0.000426637   -0.0658086,     0.147759 -0.000469335   -0.0658612,     0.145525 -0.000696468   -0.0654766,     0.143122 -0.000722505   -0.0653571,     0.140702 -0.000748471   -0.0652653,     0.138272 -0.000775577   -0.0651976,     0.135828 -0.000803686   -0.0651537,    0.13337 -0.0008327 -0.0651332,    0.130895 -0.00086252   -0.065136,    0.128402 -0.00089305  -0.0651617,     0.125889 -0.000924195     -0.06521,     0.123353 -0.000955859   -0.0652805,    0.120794 -0.00098795  -0.0653729,     0.11821 -0.00102037  -0.0654866,    0.115598 -0.00105304  -0.0656213,    0.112957 -0.00108584  -0.0657763,   0.110286 -0.0011187 -0.0659513,    0.107582 -0.00115151  -0.0661456,    0.104844 -0.00118418  -0.0663585,     0.10207 -0.00121662  -0.0665892,   0.0385775 0.000758984  -0.0669156, 
200,    0.146492 -0.00061097  -0.0652301,     0.146249 -0.000647036   -0.0652907,     0.144005 -0.000857226   -0.0649308,     0.141586 -0.000882886   -0.0648316,     0.139151 -0.000908481   -0.0647599,     0.136705 -0.000935202   -0.0647119,     0.134245 -0.000962914   -0.0646874,      0.13177 -0.000991516   -0.0646861,    0.129279 -0.00102091  -0.0647076,   0.126768  -0.001051 -0.0647518,    0.124237 -0.00108168  -0.0648181,    0.121684 -0.00111286  -0.0649061,    0.119107 -0.00114445  -0.0650156,    0.116505 -0.00117635  -0.0651459,    0.113875 -0.00120847  -0.0652965,   0.111216 -0.0012407  -0.065467,    0.108527 -0.00127295  -0.0656567,    0.105805 -0.00130513   -0.065865,     0.10305 -0.00133714  -0.0660912,    0.100259 -0.00136887  -0.0663345,   0.038903 0.00077352 -0.0665374, 
205,     0.145014 -0.000784971   -0.0646204,     0.144784 -0.000814506   -0.0646885,    0.142527 -0.00100867  -0.0643532,    0.140093 -0.00103409  -0.0642742,    0.137642 -0.00105944  -0.0642224,    0.135179 -0.00108589   -0.064194,    0.132702 -0.00111333  -0.0641888,     0.13021 -0.00114163  -0.0642065,      0.1277 -0.00117072  -0.0642467,    0.125171 -0.00120047  -0.0643091,    0.122622 -0.00123081  -0.0643932,     0.12005 -0.00126162  -0.0644987,    0.117454 -0.00129282   -0.064625,    0.114833 -0.00132431  -0.0647717,    0.112184 -0.00135599   -0.064938,    0.109507 -0.00138776  -0.0651236,    0.106799 -0.00141953  -0.0653278,    0.104059 -0.00145119  -0.0655499,    0.101285 -0.00148265   -0.065789,  0.0984764 -0.0015138 -0.0660443,   0.0392455 0.000787525  -0.0661216, 
210,     0.143578 -0.000948755   -0.0639815,      0.14336 -0.000971879   -0.0640567,     0.14109 -0.00115095  -0.0637458,    0.138639 -0.00117626  -0.0636869,    0.136171 -0.00120146  -0.0636548,     0.13369 -0.00122777   -0.063646,    0.131195 -0.00125503    -0.06366,    0.128684 -0.00128316  -0.0636966,    0.126156 -0.00131203  -0.0637553,    0.123608 -0.00134157  -0.0638358,    0.121039 -0.00137167  -0.0639376,    0.118448 -0.00140222  -0.0640602,    0.115833 -0.00143314  -0.0642032,    0.113192 -0.00146433  -0.0643659,    0.110523 -0.00149568  -0.0645478,   0.107826 -0.0015271 -0.0647482,    0.105099 -0.00155848  -0.0649666,    0.102339 -0.00158974   -0.065202,   0.0995464 -0.00162076  -0.0654537,   0.0967188 -0.00165145  -0.0657207,   0.0396046 0.000801014  -0.0656699, 
215,    0.142179 -0.00110251  -0.0633149,    0.141974 -0.00111935  -0.0633967,    0.139689 -0.00128426  -0.0631102,    0.137221 -0.00130955  -0.0630713,    0.134735 -0.00133473   -0.063059,    0.132235 -0.00136099  -0.0630695,    0.129722 -0.00138819  -0.0631026,    0.127191 -0.00141623  -0.0631579,    0.124643 -0.00144501   -0.063235,    0.122076 -0.00147443  -0.0633334,    0.119487 -0.00150439  -0.0634526,    0.116875 -0.00153479  -0.0635922,    0.114239 -0.00156553  -0.0637516,    0.111578 -0.00159652  -0.0639302,    0.108889 -0.00162765  -0.0641273,    0.106171 -0.00165882  -0.0643423,    0.103423 -0.00168993  -0.0645744,    0.100644 -0.00172089  -0.0648229,   0.0978308 -0.00175158  -0.0650867,   0.0949835 -0.00178192   -0.065365,  0.0399803 0.00081391 -0.0651834, 
220,    0.141469 -0.00126279  -0.0626373,    0.141974 -0.00111935  -0.0633967,    0.139689 -0.00128426  -0.0631102,    0.137221 -0.00130955  -0.0630713,    0.134735 -0.00133473   -0.063059,    0.132235 -0.00136099  -0.0630695,    0.129722 -0.00138819  -0.0631026,    0.127191 -0.00141623  -0.0631579,    0.124643 -0.00144501   -0.063235,    0.122076 -0.00147443  -0.0633334,    0.119487 -0.00150439  -0.0634526,    0.116875 -0.00153479  -0.0635922,    0.114239 -0.00156553  -0.0637516,    0.111578 -0.00159652  -0.0639302,    0.108889 -0.00162765  -0.0641273,    0.106171 -0.00165882  -0.0643423,    0.103423 -0.00168993  -0.0645744,    0.100644 -0.00172089  -0.0648229,   0.0978308 -0.00175158  -0.0650867,   0.0949835 -0.00178192   -0.065365,  0.0399803 0.00081391 -0.0651834, 
225,   0.139365 -0.0012853 -0.0622724,    0.139148 -0.00129331  -0.0623249,    0.136998 -0.00154986  -0.0618699,    0.134499 -0.00157411  -0.0618704,    0.131981 -0.00159828  -0.0618965,    0.129449 -0.00162352  -0.0619449,   0.126901 -0.0016497  -0.062015,    0.124336 -0.00167672  -0.0621064,    0.121752 -0.00170448  -0.0622188,    0.119148 -0.00173287  -0.0623516,    0.116522 -0.00176181  -0.0625042,    0.113873 -0.00179118  -0.0626761,     0.1112 -0.0018209 -0.0628666,      0.1085 -0.00185087   -0.063075,    0.105773 -0.00188098  -0.0633007,    0.103017 -0.00191113  -0.0635428,     0.10023 -0.00194124  -0.0638005,   0.0974126 -0.00197119  -0.0640729,   0.0945619 -0.00200088   -0.064359,   0.0916772 -0.00203022  -0.0646577,   0.0408148 0.000838811  -0.0642128, 
230,    0.137919 -0.00152213  -0.0615004,    0.137761 -0.00151813  -0.0616155,    0.135415 -0.00164652  -0.0614107,   0.132898 -0.0016729 -0.0614292,    0.130354 -0.00169829  -0.0614761,    0.127797 -0.00172473  -0.0615449,    0.125223 -0.00175209   -0.061635,    0.122631 -0.00178026  -0.0617462,    0.120021 -0.00180915  -0.0618777,     0.11739 -0.00183865  -0.0620291,    0.114738 -0.00186865  -0.0621999,    0.112062 -0.00189906  -0.0623892,    0.109362 -0.00192976  -0.0625965,    0.106635 -0.00196067   -0.062821,    0.103882 -0.00199168  -0.0630619,      0.1011 -0.00202267  -0.0633184,   0.0982874 -0.00205356  -0.0635896,   0.0954443 -0.00208422  -0.0638744,   0.0925688 -0.00211455  -0.0641718,   0.0896596 -0.00214444  -0.0644807,   0.0411545 0.000847266  -0.0638225, 
235,    0.136825 -0.00163779  -0.0606227,    0.136673 -0.00162992  -0.0607378,    0.134317 -0.00174556  -0.0605497,    0.131772 -0.00177175  -0.0605907,    0.129207 -0.00179748  -0.0606567,    0.126626 -0.00182426  -0.0607442,     0.12403 -0.00185192  -0.0608527,    0.121415 -0.00188035  -0.0609818,    0.118781 -0.00190947  -0.0611309,    0.116127 -0.00193916  -0.0612994,     0.11345 -0.00196932  -0.0614867,    0.110749 -0.00199986   -0.061692,    0.108024 -0.00203067  -0.0619147,    0.105273 -0.00206165   -0.062154,   0.102495 -0.0020927  -0.062409,   0.0996876 -0.00212371  -0.0626788,   0.0968507 -0.00215459  -0.0629624,   0.0939829 -0.00218522  -0.0632587,   0.0910829 -0.00221549  -0.0635668,   0.0881495 -0.00224529  -0.0638853,   0.0416241 0.000857974  -0.0631171, 
240,     0.13568 -0.00174407  -0.0597665,    0.135535 -0.00173122   -0.059883,    0.133162 -0.00183768  -0.0597175,    0.130595 -0.00186411  -0.0597779,    0.128007 -0.00189027  -0.0598627,    0.125405 -0.00191741  -0.0599688,    0.122785 -0.00194541  -0.0600955,    0.120147 -0.00197416  -0.0602422,    0.117489 -0.00200357  -0.0604085,    0.114811 -0.00203352  -0.0605937,    0.112109 -0.00206392  -0.0607971,    0.109385 -0.00209466  -0.0610179,    0.106635 -0.00212566  -0.0612555,   0.103859 -0.0021568 -0.0615088,    0.101056 -0.00218799  -0.0617771,   0.0982243 -0.00221912  -0.0620595,  0.0953629 -0.0022501 -0.0623547,  0.0924706 -0.0022808 -0.0626618,   0.0895464 -0.00231113  -0.0629795,    0.086589 -0.00234097  -0.0633068,   0.0420925 0.000867944  -0.0624128, 
245,    0.135138 -0.00186119  -0.0588927,    0.135535 -0.00173122   -0.059883,    0.133162 -0.00183768  -0.0597175,    0.130595 -0.00186411  -0.0597779,    0.128007 -0.00189027  -0.0598627,    0.125405 -0.00191741  -0.0599688,    0.122785 -0.00194541  -0.0600955,    0.120147 -0.00197416  -0.0602422,    0.117489 -0.00200357  -0.0604085,    0.114811 -0.00203352  -0.0605937,    0.112109 -0.00206392  -0.0607971,    0.109385 -0.00209466  -0.0610179,    0.106635 -0.00212566  -0.0612555,   0.103859 -0.0021568 -0.0615088,    0.101056 -0.00218799  -0.0617771,   0.0982243 -0.00221912  -0.0620595,  0.0953629 -0.0022501 -0.0623547,  0.0924706 -0.0022808 -0.0626618,   0.0895464 -0.00231113  -0.0629795,    0.086589 -0.00234097  -0.0633068,   0.0420925 0.000867944  -0.0624128, 
250,    0.133273 -0.00188639  -0.0583613,    0.133117 -0.00186733  -0.0584483,    0.130869 -0.00201908  -0.0581359,    0.128263 -0.00204572  -0.0582339,    0.125635 -0.00207206  -0.0583555,    0.122991 -0.00209936  -0.0584975,   0.120329 -0.0021275 -0.0586591,    0.117648 -0.00215638  -0.0588398,    0.114946 -0.00218589   -0.059039,    0.112223 -0.00221594   -0.059256,    0.109476 -0.00224643  -0.0594899,    0.106705 -0.00227726    -0.05974,    0.103909 -0.00230833  -0.0600054,    0.101086 -0.00233956  -0.0602851,   0.0982361 -0.00237083  -0.0605782,   0.0953572 -0.00240205  -0.0608835,   0.0924485 -0.00243312     -0.0612,    0.089509 -0.00246393  -0.0615264,   0.0865376 -0.00249437  -0.0618615,   0.0835332 -0.00252434  -0.0622039,   0.0430978 0.000884861  -0.0610393, 
255,    0.132025 -0.00203156  -0.0574541,     0.13192 -0.00200098   -0.057596,    0.129473 -0.00208371   -0.057508,    0.126842 -0.00211247   -0.057624,    0.124184 -0.00214011  -0.0577658,    0.121509 -0.00216868  -0.0579274,    0.118817 -0.00219806  -0.0581082,    0.116104 -0.00222816  -0.0583076,    0.113371 -0.00225887  -0.0585248,    0.110616 -0.00229008  -0.0587591,    0.107839 -0.00232171  -0.0590097,    0.105037 -0.00235365  -0.0592756,   0.102209 -0.0023858 -0.0595559,   0.0993557 -0.00241806  -0.0598496,   0.0964747 -0.00245034  -0.0601557,   0.0935652 -0.00248252  -0.0604729,   0.0906264 -0.00251451  -0.0608001,   0.0876571 -0.00254618  -0.0611361,   0.0846563 -0.00257744  -0.0614795,   0.0816232 -0.00260816  -0.0618289,    0.043524 0.000889491  -0.0604456, 
260,   0.131063 -0.0021057 -0.0564522,   0.130964 -0.0020715 -0.0565933,      0.1285 -0.00214485  -0.0565228,    0.125837 -0.00217393  -0.0566604,    0.123154 -0.00220226  -0.0568204,    0.120453 -0.00223152  -0.0569998,    0.117734 -0.00226157  -0.0571979,    0.114995 -0.00229231  -0.0574141,    0.112234 -0.00232364  -0.0576474,    0.109452 -0.00235545  -0.0578972,    0.106646 -0.00238766  -0.0581626,    0.103816 -0.00242016  -0.0584427,    0.100961 -0.00245286  -0.0587363,   0.0980787 -0.00248565  -0.0590426,   0.0951693 -0.00251844  -0.0593602,   0.0922315 -0.00255112  -0.0596881,   0.0892642 -0.00258359  -0.0600249,   0.0862666 -0.00261574  -0.0603695,   0.0832377 -0.00264744  -0.0607203,  0.0801766 -0.0026786  -0.061076,   0.0440702 0.000896247  -0.0595703, 
265,    0.130057 -0.00217013  -0.0554668,    0.129965 -0.00213143  -0.0556094,    0.127479 -0.00219991  -0.0555608,    0.124791 -0.00222947  -0.0557169,    0.122081 -0.00225854   -0.055895,    0.119354 -0.00228852   -0.056092,    0.116607 -0.00231926  -0.0563072,    0.113841 -0.00235068  -0.0565398,    0.111053 -0.00238267  -0.0567891,    0.108243 -0.00241515  -0.0570541,  0.105409 -0.002448 -0.057334,     0.10255 -0.00248113  -0.0576277,   0.0996653 -0.00251444  -0.0579343,   0.0967543 -0.00254784  -0.0582526,   0.0938158 -0.00258123  -0.0585813,  0.0908488 -0.0026145 -0.0589193,   0.0878524 -0.00264755  -0.0592652,   0.0848256 -0.00268026  -0.0596176,   0.0817677 -0.00271252  -0.0599753,   0.0786778 -0.00274423  -0.0603365,   0.0446156 0.000902243   -0.058694, 
270,    0.129041 -0.00222823  -0.0544783,   0.128957 -0.0021851 -0.0546239,   0.126446 -0.0022483 -0.0545979,    0.123731 -0.00227869  -0.0547724,    0.120995 -0.00230853  -0.0549684,    0.118241 -0.00233927  -0.0551828,    0.115467 -0.00237076  -0.0554147,    0.112672 -0.00240291  -0.0556635,    0.109856 -0.00243563  -0.0559283,    0.107017 -0.00246882  -0.0562081,    0.104154 -0.00250237   -0.056502,   0.101266 -0.0025362  -0.056809,  0.0983517 -0.0025702  -0.057128,    0.095411 -0.00260429  -0.0574576,   0.0924428 -0.00263835  -0.0577968,    0.089446 -0.00267229  -0.0581441,  0.0864197  -0.002706 -0.0584984,   0.0833631 -0.00273936   -0.058858,   0.0802755 -0.00277227  -0.0592216,   0.0771562 -0.00280462  -0.0595875,   0.0451669 0.000907573  -0.0577996, 
275,    0.128028 -0.00227939  -0.0534775,    0.127953 -0.00223191  -0.0536268,   0.125416 -0.0022906 -0.0536233,    0.122674 -0.00232183  -0.0538161,    0.119911 -0.00235249  -0.0540298,    0.117128 -0.00238402  -0.0542612,    0.114326 -0.00241631  -0.0545096,    0.111503 -0.00244924  -0.0547742,    0.108657 -0.00248273  -0.0550541,    0.105789 -0.00251669  -0.0553483,   0.102896  -0.002551 -0.0556558,   0.0999778 -0.00258558  -0.0559755,   0.0970337 -0.00262033  -0.0563062,   0.0940628 -0.00265516  -0.0566467,   0.0910641 -0.00268996  -0.0569956,   0.0880367 -0.00272463  -0.0573517,   0.0849799 -0.00275906  -0.0577135,   0.0818928 -0.00279314  -0.0580795,   0.0787748 -0.00282677  -0.0584481,   0.0756253 -0.00285983  -0.0588178,   0.0457276 0.000912326  -0.0568793, 
280,    0.127504 -0.00234507  -0.0524558,    0.127953 -0.00223191  -0.0536268,   0.125416 -0.0022906 -0.0536233,    0.122674 -0.00232183  -0.0538161,    0.119911 -0.00235249  -0.0540298,    0.117128 -0.00238402  -0.0542612,    0.114326 -0.00241631  -0.0545096,    0.111503 -0.00244924  -0.0547742,    0.108657 -0.00248273  -0.0550541,    0.105789 -0.00251669  -0.0553483,   0.102896  -0.002551 -0.0556558,   0.0999778 -0.00258558  -0.0559755,   0.0970337 -0.00262033  -0.0563062,   0.0940628 -0.00265516  -0.0566467,   0.0910641 -0.00268996  -0.0569956,   0.0880367 -0.00272463  -0.0573517,   0.0849799 -0.00275906  -0.0577135,   0.0818928 -0.00279314  -0.0580795,   0.0787748 -0.00282677  -0.0584481,   0.0756253 -0.00285983  -0.0588178,   0.0457276 0.000912326  -0.0568793, 
285,    0.125909 -0.00236166   -0.051708,     0.12583 -0.00231097  -0.0518354,    0.123398 -0.00237756  -0.0517155,  0.120607  -0.00241 -0.051943,    0.117792 -0.00244186  -0.0521901,    0.114957 -0.00247455  -0.0524537,    0.112102 -0.00250797  -0.0527331,    0.109225 -0.00254202  -0.0530272,    0.106324 -0.00257661  -0.0533351,      0.1034 -0.00261164  -0.0536557,    0.100451 -0.00264702  -0.0539879,   0.0974755 -0.00268267  -0.0543306,   0.0944738 -0.00271848  -0.0546823,   0.0914448 -0.00275437  -0.0550418,   0.0883877 -0.00279025  -0.0554076,   0.0853017 -0.00282601  -0.0557783,   0.0821859 -0.00286154  -0.0561523,   0.0790398 -0.00289675  -0.0565281,   0.0758628 -0.00293152  -0.0569039,   0.0726542 -0.00296574  -0.0572781,   0.0469056 0.000919725  -0.0550332, 
290,     0.12487 -0.00241424  -0.0506279,    0.124834 -0.00235283  -0.0508007,    0.122204 -0.00240185  -0.0508699,    0.11938 -0.0024364 -0.0511144,    0.116529 -0.00246958  -0.0513801,    0.113658 -0.00250359  -0.0516615,    0.110765 -0.00253833   -0.051958,   0.107851 -0.0025737 -0.0522683,   0.104913 -0.0026096 -0.0525916,    0.101951 -0.00264595  -0.0529266,   0.0989642 -0.00268264  -0.0532722,   0.0959517 -0.00271959  -0.0536271,   0.0929126 -0.00275671  -0.0539899,  0.0898464 -0.0027939 -0.0543592,   0.0867523 -0.00283106  -0.0547335,   0.0836294 -0.00286809  -0.0551113,   0.0804773 -0.00290488  -0.0554909,   0.0772951 -0.00294133  -0.0558707,   0.0740824 -0.00297732   -0.056249,   0.0708387 -0.00301274  -0.0566239,  0.0474315 0.00092111  -0.054158, 
295,    0.124045 -0.00244156  -0.0494622,    0.124015 -0.00237749  -0.0496342,    0.121359 -0.00242146  -0.0497211,      0.1185 -0.00245656  -0.0499851,    0.115618 -0.00249067  -0.0502671,    0.112715 -0.00252562  -0.0505643,    0.109791 -0.00256128  -0.0508758,    0.106844 -0.00259756  -0.0512004,    0.103873 -0.00263437   -0.051537,    0.100878 -0.00267161  -0.0518845,  0.0978579 -0.0027092 -0.0522417,   0.0948116 -0.00274703  -0.0526071,   0.0917387 -0.00278503  -0.0529794,  0.0886384 -0.0028231  -0.053357,     0.08551 -0.00286113  -0.0537385,   0.0823528 -0.00289904  -0.0541221,   0.0791663 -0.00293671  -0.0545062,   0.0759498 -0.00297403  -0.0548892,   0.0727029 -0.00301089  -0.0552691,   0.0694252 -0.00304718  -0.0556442,   0.0480639 0.000924317   -0.053043, 
300,    0.123179 -0.00246091  -0.0483069,    0.123156 -0.00239348  -0.0484803,    0.120471 -0.00243668  -0.0485877,    0.117581 -0.00247244  -0.0488685,   0.114668 -0.0025075 -0.0491666,    0.111733 -0.00254339  -0.0494792,    0.108776 -0.00257998  -0.0498052,    0.105796 -0.00261719  -0.0501436,    0.102792 -0.00265493  -0.0504931,  0.0997636 -0.0026931 -0.0508526,   0.0967093 -0.00273161  -0.0512207,   0.0936286 -0.00277037   -0.051596,   0.090521 -0.0028093 -0.0519771,   0.0873858 -0.00284829  -0.0523623,   0.0842222 -0.00288726    -0.05275,  0.0810298 -0.0029261 -0.0531387,  0.0778079 -0.0029647 -0.0535266,   0.0745562 -0.00300296  -0.0539117,    0.071274 -0.00304077  -0.0542924,   0.0679612 -0.00307802  -0.0546666,   0.0486965 0.000926993  -0.0519184, 
305,    0.122301 -0.00247605  -0.0471453,    0.122286 -0.00240537  -0.0473213,     0.11957 -0.00244702  -0.0474495,    0.116648 -0.00248377  -0.0477467,    0.113703 -0.00251979  -0.0480605,    0.110735 -0.00255663  -0.0483881,    0.107745 -0.00259418  -0.0487282,    0.104732 -0.00263234  -0.0490798,    0.101694 -0.00267103  -0.0494416,   0.0986304 -0.00271015  -0.0498124,   0.0955413 -0.00274962  -0.0501908,   0.0924255 -0.00278934  -0.0505752,   0.0892825 -0.00282923  -0.0509642,  0.0861117 -0.0028692 -0.0513561,   0.0829123 -0.00290914  -0.0517493,   0.0796839 -0.00294895   -0.052142,    0.076426 -0.00298853  -0.0525325,   0.0731382 -0.00302778  -0.0529187,   0.0698201 -0.00306659  -0.0532989,   0.0664715 -0.00310484   -0.053671,   0.0493351 0.000929284  -0.0507697, 
310,    0.121817 -0.00250712  -0.0459633,    0.122286 -0.00240537  -0.0473213,     0.11957 -0.00244702  -0.0474495,    0.116648 -0.00248377  -0.0477467,    0.113703 -0.00251979  -0.0480605,    0.110735 -0.00255663  -0.0483881,    0.107745 -0.00259418  -0.0487282,    0.104732 -0.00263234  -0.0490798,    0.101694 -0.00267103  -0.0494416,   0.0986304 -0.00271015  -0.0498124,   0.0955413 -0.00274962  -0.0501908,   0.0924255 -0.00278934  -0.0505752,   0.0892825 -0.00282923  -0.0509642,  0.0861117 -0.0028692 -0.0513561,   0.0829123 -0.00290914  -0.0517493,   0.0796839 -0.00294895   -0.052142,    0.076426 -0.00298853  -0.0525325,   0.0731382 -0.00302778  -0.0529187,   0.0698201 -0.00306659  -0.0532989,   0.0664715 -0.00310484   -0.053671,   0.0493351 0.000929284  -0.0507697, 
