50,  -0.0016762 -0.00010549    0.620621, 5.89704e-309 5.89704e-309     0.622451,  -0.00286816 -0.000210026     0.619766,  -0.00336911 -0.000305288     0.619342,  -0.00388407 -0.000402849     0.618928,  -0.00441911 -0.000501779     0.618525,  -0.00497702 -0.000600315     0.618132,  -0.00555999 -0.000697702     0.617751,  -0.00616985 -0.000793217     0.617381,   -0.0068082 -0.000886115     0.617022,  -0.00747636 -0.000975611     0.616676, -0.00817538 -0.00106087    0.616342, -0.00890586 -0.00114097    0.616023, -0.00966625 -0.00121479    0.615717,  -0.0104356 -0.00127976    0.615423,  -0.0106867 -0.00131131    0.615236, 
55,  -0.00193138 -0.000117181      0.62047, 6.55227e-309 6.55227e-309     0.622451,  -0.00290255 -0.000213878     0.619776,     -0.00328 -0.000293798     0.619437, -0.00367756 -0.00037621    0.619107,  -0.00410122 -0.000459939     0.618786,  -0.00455344 -0.000543569     0.618474,  -0.00503611 -0.000626478     0.618172, -0.00555095 -0.00070807    0.617881,  -0.00609948 -0.000787725     0.617601,  -0.00668309 -0.000864783     0.617332, -0.00730291 -0.00093853    0.617076, -0.00795973 -0.00100818    0.616834, -0.00865225 -0.00107274    0.616606, -0.00936012 -0.00112988    0.616389, -0.00954748 -0.00115584    0.616289, 
60,  -0.00215421 -0.000129033     0.620341, 7.20749e-309 7.20749e-309     0.622451, -0.00293411 -0.00021748     0.61978,  -0.00321332 -0.000281415     0.619511,  -0.00351757 -0.000347612     0.619249,  -0.00385274 -0.000414806     0.618994,   -0.0042211 -0.000482006     0.618749,  -0.00462438 -0.000548857     0.618512,  -0.00506423 -0.000615026     0.618285,  -0.00554212 -0.000680139     0.618068,  -0.00605943 -0.000743736     0.617863,  -0.00661735 -0.000805254      0.61767,  -0.00721673 -0.000864003     0.617491,  -0.00785642 -0.000919058     0.617326,  -0.00851637 -0.000968149     0.617174,  -0.00864865 -0.000988493     0.617147, 
65,  -0.00234587 -0.000141001     0.620232, 7.86272e-309 7.86272e-309     0.622451,  -0.00296138 -0.000222243     0.619783,  -0.00316389 -0.000269932     0.619571,  -0.00339563 -0.000318696     0.619364,  -0.00366258 -0.000369315     0.619164,   -0.0039666 -0.000423341     0.618972,  -0.00430871 -0.000481553     0.618789,  -0.00468997 -0.000542922     0.618615,  -0.00511185 -0.000605372     0.618451, -0.00557602  -0.0006669    0.618299,  -0.00608406 -0.000726076      0.61816,   -0.0066371 -0.000781922     0.618033,   -0.0072342 -0.000833537     0.617922,  -0.00785552 -0.000878913     0.617823,  -0.00793886 -0.000895599     0.617859, 
70,   -0.0025082 -0.000152876     0.620141, 8.51795e-309 8.51795e-309     0.622451,  -0.00297823 -0.000228821     0.619787,  -0.00311803 -0.000264801     0.619622,  -0.00329121 -0.000306186     0.619462,  -0.00350123 -0.000356662     0.619308,  -0.00374923 -0.000412819     0.619162,  -0.00403794 -0.000470188     0.619025,  -0.00436951 -0.000527216     0.618896,   -0.0047454 -0.000583328     0.618778,  -0.00516698 -0.000637897      0.61867,  -0.00563561 -0.000690237     0.618575,  -0.00615242 -0.000739619     0.618493,  -0.00671657 -0.000785167     0.618427,  -0.0073084 -0.00082492    0.618373,  -0.00734862 -0.000837468     0.618464, 
75,  -0.00264336 -0.000164596     0.620067, 9.17317e-309 9.17317e-309     0.622451, -0.00298647 -0.00023697    0.619793, -0.00307561 -0.00027157    0.619668,   -0.0031987 -0.000318434     0.619548,  -0.00335943 -0.000372818     0.619435,  -0.00356178 -0.000428657     0.619328,  -0.00380807 -0.000484544     0.619229,  -0.00409988 -0.000539854      0.61914,  -0.00443861 -0.000594006     0.619059,  -0.00482571 -0.000646392      0.61899,  -0.00526259 -0.000696362     0.618934,  -0.00575044 -0.000743215      0.61889,  -0.00628853 -0.000786097     0.618862,  -0.00685723 -0.000823134     0.618848,  -0.00685838 -0.000833304     0.618989, 
80,  -0.00275372 -0.000176084     0.620007, 9.8284e-309 9.8284e-309    0.622451,  -0.00299064 -0.000243262       0.6198,  -0.00303887 -0.000282643     0.619709,  -0.00312014 -0.000335543     0.619623,  -0.00324232 -0.000391366     0.619543,  -0.00340907 -0.000447733      0.61947,  -0.00362203 -0.000503907     0.619404,  -0.00388264 -0.000559256     0.619347,  -0.00419234 -0.000613136       0.6193,  -0.00455263 -0.000664887     0.619263,  -0.00496497 -0.000713832     0.619239,  -0.00543062 -0.000759267     0.619229,  -0.00594889 -0.000800366     0.619235,  -0.00650008 -0.000835377     0.619254,  -0.00646563 -0.000843496      0.61944, 
85,  -0.00284198 -0.000187154     0.619958, 1.04836e-308 1.04836e-308     0.622451,  -0.00299397 -0.000249857     0.619808,   -0.0030105 -0.000295667     0.619746,  -0.00306013 -0.000351341     0.619689,  -0.00315343 -0.000408841     0.619637,  -0.00329314 -0.000466432     0.619592,  -0.00348083 -0.000522691     0.619554,  -0.00371783 -0.000576429     0.619524,  -0.00400549 -0.000626869     0.619505,  -0.00434522 -0.000673642     0.619497,  -0.00473854 -0.000716616     0.619501,  -0.00518681 -0.000755676      0.61952,  -0.00568949 -0.000790491     0.619554,  -0.00622683 -0.000819689     0.619604,  -0.00615918 -0.000823888      0.61983, 
90,  -0.00291107 -0.000197654      0.61992, 1.11389e-308 1.11389e-308     0.622451,  -0.00299696 -0.000256621     0.619817,  -0.00298843 -0.000305092     0.619779,  -0.00301618 -0.000360136     0.619746,  -0.00308929 -0.000414667     0.619718,  -0.00320949 -0.000464946     0.619696,  -0.00337769 -0.000510294     0.619682,  -0.00359544 -0.000552178     0.619677,  -0.00386479 -0.000591854     0.619683,   -0.0041877 -0.000629606     0.619699,  -0.00456596 -0.000665151     0.619728,  -0.00500102 -0.000698007     0.619772,  -0.00549235 -0.000727536     0.619832,  -0.00602001 -0.000752208     0.619907,  -0.00592189 -0.000752906     0.620169, 
95,   -0.0029639 -0.000207585     0.619891, 1.17941e-308 1.17941e-308     0.622451,  -0.00299782 -0.000264365     0.619827,  -0.00296981 -0.000310531      0.61981,  -0.00298007 -0.000359196     0.619797,    -0.003035 -0.000402291      0.61979,  -0.00313608 -0.000440225      0.61979,  -0.00328572 -0.000475962     0.619797,  -0.00348629 -0.000510542     0.619814,   -0.0037398 -0.000543979      0.61984, -0.00404815   -0.000576    0.619878,  -0.00441322 -0.000606217     0.619929,   -0.0048366 -0.000634163     0.619995,  -0.00531791 -0.000659222     0.620077,  -0.00583704 -0.000679916     0.620175,  -0.00570962 -0.000677358      0.62047, 
100,  -0.00300202 -0.000217016      0.61987, 1.17941e-308 1.17941e-308     0.622451,  -0.00299782 -0.000264365     0.619827,  -0.00296981 -0.000310531      0.61981,  -0.00298007 -0.000359196     0.619797,    -0.003035 -0.000402291      0.61979,  -0.00313608 -0.000440225      0.61979,  -0.00328572 -0.000475962     0.619797,  -0.00348629 -0.000510542     0.619814,   -0.0037398 -0.000543979      0.61984, -0.00404815   -0.000576    0.619878,  -0.00441322 -0.000606217     0.619929,   -0.0048366 -0.000634163     0.619995,  -0.00531791 -0.000659222     0.620077,  -0.00583704 -0.000679916     0.620175,  -0.00570962 -0.000677358      0.62047, 
105,  -0.00302607 -0.000225996     0.619858, 1.18043e-308 1.18043e-308     0.622451, -0.00299714 -0.00026451    0.619828,  -0.00296869 -0.000310442     0.619811,  -0.00297855 -0.000358827     0.619799, -0.00303313 -0.00040167    0.619792,  -0.00313391 -0.000439415     0.619793,  -0.00328331 -0.000474988     0.619801,  -0.00348368 -0.000509415     0.619818,  -0.00373703 -0.000542704     0.619844,  -0.00404526 -0.000574583     0.619883,  -0.00441024 -0.000604664     0.619934, -0.00483357 -0.00063248    0.620001,  -0.00531486 -0.000657415     0.620084,  -0.00583399 -0.000677992     0.620182, -0.00570613 -0.00067535    0.620478, 
110,  -0.00303701 -0.000234492     0.619852, 1.19681e-308 1.19681e-308     0.622451,   -0.0029738 -0.000267066     0.619844,  -0.00293454 -0.000307258      0.61984,  -0.0029351 -0.00034961     0.61984,  -0.00298142 -0.000387239     0.619847,  -0.00307513 -0.000420814      0.61986,  -0.00321851 -0.000452646     0.619881,  -0.00341376 -0.000483524      0.61991,  -0.00366281 -0.000513406      0.61995,  -0.00396755 -0.000542011     0.620001,  -0.00432983 -0.000568954     0.620066,  -0.00475126 -0.000593773     0.620146,  -0.00523146 -0.000615861     0.620243, -0.00575011 -0.00063377    0.620355,  -0.00561406 -0.000629284     0.620668, 
115,  -0.00303614 -0.000242281     0.619854, 1.22957e-308 1.22957e-308     0.622451,  -0.00290743 -0.000271284     0.619885,  -0.00284478 -0.000299439     0.619909,  -0.00282518 -0.000329793     0.619937, -0.00285356 -0.00035749    0.619971,  -0.00293167 -0.000382997     0.620011,  -0.00306148 -0.000407552     0.620059,  -0.00324494 -0.000431547     0.620116,  -0.00348387 -0.000454847     0.620184, -0.00378017 -0.00047715    0.620264,  -0.00413573 -0.000498068     0.620357,  -0.00455226 -0.000517142     0.620466, -0.00502945 -0.00053377    0.620593,  -0.00554657 -0.000546565     0.620736,  -0.00539336 -0.000538498     0.621082, 
